Id,Category
HW00007556,5
HW00003881,5
HW00003622,3
HW00004970,8
HW00000496,1
HW00004271,1
HW00003631,4
HW00002219,1
HW00001029,1
HW00003739,7
HW00007317,8
HW00002827,1
HW00004853,0
HW00005050,3
HW00005094,1
HW00002521,2
HW00002339,9
HW00005042,1
HW00001688,6
HW00001958,5
HW00002754,1
HW00002711,0
HW00006095,4
HW00006299,6
HW00007288,1
HW00005314,4
HW00002428,1
HW00007385,7
HW00001766,0
HW00006483,0
HW00004663,6
HW00007166,9
HW00002874,2
HW00007804,7
HW00003473,5
HW00003388,8
HW00000923,6
HW00000602,9
HW00005328,2
HW00000214,9
HW00002208,0
HW00002776,3
HW00001891,6
HW00007005,1
HW00003661,9
HW00002805,0
HW00000133,2
HW00003015,4
HW00004308,7
HW00004850,5
HW00004240,6
HW00007936,0
HW00007265,5
HW00001788,7
HW00003815,7
HW00000441,6
HW00004261,6
HW00001316,6
HW00004488,2
HW00007891,6
HW00002581,8
HW00002044,4
HW00000294,2
HW00004534,8
HW00004097,8
HW00002031,5
HW00005456,8
HW00007080,6
HW00003434,3
HW00000974,3
HW00000090,7
HW00002130,0
HW00004167,0
HW00006478,0
HW00004053,7
HW00007650,8
HW00005568,1
HW00005571,2
HW00007746,5
HW00006263,6
HW00006012,1
HW00007611,1
HW00003270,1
HW00004596,4
HW00001867,5
HW00000891,3
HW00000875,4
HW00006463,7
HW00004732,2
HW00001347,7
HW00004246,0
HW00004731,0
HW00001039,4
HW00001011,7
HW00004619,4
HW00001695,0
HW00005554,7
HW00002584,2
HW00002543,5
HW00000567,9
HW00004503,4
HW00000126,0
HW00000286,9
HW00004618,7
HW00002419,0
HW00004151,0
HW00001237,2
HW00005330,7
HW00004242,9
HW00005701,2
HW00000073,6
HW00000387,4
HW00005192,6
HW00001127,4
HW00007035,1
HW00003960,7
HW00003172,0
HW00001693,2
HW00003420,8
HW00004739,2
HW00006368,0
HW00007316,6
HW00005559,6
HW00001175,7
HW00005329,1
HW00003337,9
HW00001944,4
HW00001377,2
HW00004738,4
HW00006941,0
HW00000620,4
HW00003834,0
HW00007602,7
HW00003525,3
HW00004201,0
HW00005383,6
HW00006549,4
HW00004566,9
HW00000912,4
HW00002963,2
HW00000434,0
HW00006152,2
HW00003978,2
HW00002171,6
HW00006369,5
HW00006462,6
HW00005503,0
HW00003360,6
HW00007308,4
HW00006032,6
HW00005111,2
HW00005105,1
HW00007374,8
HW00006347,3
HW00005499,6
HW00007112,4
HW00001792,3
HW00003970,6
HW00004126,6
HW00000916,4
HW00000996,8
HW00007808,6
HW00007563,6
HW00004340,3
HW00003489,4
HW00002214,2
HW00005316,2
HW00005567,9
HW00001869,1
HW00006619,6
HW00004076,2
HW00000832,4
HW00003110,9
HW00000454,4
HW00000955,0
HW00007571,9
HW00004476,0
HW00007063,6
HW00006248,9
HW00001772,5
HW00005639,6
HW00003163,5
HW00004737,5
HW00006477,0
HW00004218,4
HW00006439,7
HW00004077,6
HW00006469,1
HW00006151,8
HW00000714,0
HW00003613,3
HW00005744,8
HW00000911,4
HW00007099,0
HW00002567,1
HW00000402,2
HW00001738,6
HW00005977,6
HW00002645,7
HW00005603,4
HW00004973,9
HW00002759,5
HW00003413,9
HW00006207,2
HW00002695,1
HW00005030,1
HW00004143,1
HW00003952,2
HW00003096,8
HW00003074,0
HW00004200,4
HW00007386,9
HW00001208,6
HW00002397,3
HW00002215,4
HW00003034,7
HW00007717,6
HW00007039,5
HW00007767,0
HW00003468,0
HW00002589,1
HW00000596,6
HW00004171,8
HW00006062,1
HW00000555,1
HW00005331,4
HW00004409,6
HW00003140,7
HW00001144,1
HW00001163,0
HW00004942,1
HW00006294,6
HW00007019,3
HW00001589,4
HW00004607,7
HW00002842,3
HW00004048,7
HW00007754,1
HW00001433,6
HW00001129,1
HW00007797,7
HW00007718,2
HW00001462,0
HW00001081,2
HW00003099,0
HW00005735,8
HW00006219,4
HW00001160,6
HW00001603,6
HW00005208,1
HW00006765,5
HW00006920,2
HW00004709,3
HW00001298,6
HW00005482,4
HW00005662,9
HW00004287,9
HW00007741,4
HW00003475,2
HW00001429,4
HW00005361,5
HW00000878,4
HW00004518,2
HW00000754,0
HW00003100,2
HW00001382,2
HW00001651,2
HW00002661,7
HW00007619,2
HW00006379,2
HW00006960,0
HW00002485,7
HW00000995,2
HW00005852,2
HW00001945,9
HW00007820,3
HW00007170,5
HW00000636,7
HW00006947,8
HW00005632,2
HW00001968,6
HW00004397,1
HW00003993,6
HW00005906,1
HW00001864,2
HW00005119,2
HW00000259,7
HW00007557,3
HW00001863,0
HW00003511,3
HW00005696,6
HW00005865,7
HW00004217,4
HW00000474,7
HW00005514,7
HW00003263,6
HW00003793,2
HW00004425,9
HW00001781,7
HW00007118,9
HW00007362,1
HW00000655,2
HW00005462,9
HW00001435,6
HW00003323,6
HW00006745,2
HW00007772,7
HW00002680,0
HW00007365,6
HW00007778,2
HW00002915,4
HW00003962,6
HW00001981,6
HW00000279,8
HW00003509,7
HW00005673,2
HW00001421,9
HW00006839,7
HW00006186,6
HW00006206,9
HW00001213,3
HW00004874,1
HW00005142,4
HW00001200,6
HW00005818,7
HW00006365,9
HW00007539,2
HW00003363,7
HW00004546,7
HW00006467,7
HW00003075,6
HW00003374,7
HW00006831,7
HW00001795,2
HW00002034,2
HW00003508,0
HW00001961,2
HW00000482,2
HW00001648,6
HW00006283,3
HW00004630,2
HW00007835,6
HW00004650,2
HW00006309,1
HW00003780,2
HW00005020,8
HW00005768,1
HW00000212,9
HW00006245,2
HW00000288,5
HW00005957,0
HW00001847,1
HW00005613,2
HW00002565,5
HW00007480,6
HW00000971,8
HW00006212,4
HW00001933,1
HW00000734,6
HW00005791,4
HW00005388,0
HW00005915,6
HW00006643,2
HW00003776,4
HW00000780,9
HW00000806,2
HW00007528,7
HW00004777,4
HW00007672,7
HW00000767,7
HW00001010,8
HW00002777,2
HW00004516,2
HW00005562,0
HW00006274,6
HW00002690,8
HW00007897,6
HW00005147,2
HW00007467,9
HW00000130,1
HW00007700,4
HW00002578,6
HW00006542,6
HW00005130,1
HW00005982,0
HW00005604,5
HW00001549,8
HW00005853,4
HW00003237,9
